#separator:Tab
#notetype:@phonetics
#deck:音标
#columns:Word	Phone	Title	Url
it	/ɪt/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
is	/ɪz/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
in	/ɪn/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
his	/hɪz/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
this	/ðɪs/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
with	/wɪθ/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
will	/wɪl/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
it's	/ɪts/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
little	/ˈlɪtəl/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
think	/θɪŋk/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
give	/ɡɪv/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
did	/dɪd/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
sit	/sɪt/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
big	/bɪɡ/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
miss	/mɪs/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
if	/ɪf/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
pick	/pɪk/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
win	/wɪn/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
list	/lɪst/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
finish	/ˈfɪnɪʃ/	ɪ	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=8
