#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I am eating lunch.	我正在吃午饭。	现在进行时 - 肯定句
You are watching TV.	你正在看电视。	现在进行时 - 肯定句
He is playing soccer.	他正在踢足球。	现在进行时 - 肯定句
She is reading a book.	她正在读书。	现在进行时 - 肯定句
It is raining outside.	外面正在下雨。	现在进行时 - 肯定句
We are studying English.	我们正在学习英语。	现在进行时 - 肯定句
They are listening to music.	他们正在听音乐。	现在进行时 - 肯定句
The dog is barking.	狗正在叫。	现在进行时 - 肯定句
The baby is sleeping.	婴儿正在睡觉。	现在进行时 - 肯定句
The sun is shining.	太阳正在照耀。	现在进行时 - 肯定句
I am working now.	我现在正在工作。	现在进行时 - 肯定句
You are learning a lot.	你正在学到很多东西。	现在进行时 - 肯定句
He is cooking dinner.	他正在做晚饭。	现在进行时 - 肯定句
She is wearing a hat.	她戴着一顶帽子。	现在进行时 - 肯定句
It is getting late.	时间越来越晚了。	现在进行时 - 肯定句
We are having fun.	我们正在玩得开心。	现在进行时 - 肯定句
They are building a house.	他们正在盖房子。	现在进行时 - 肯定句
The car is moving fast.	汽车正在快速移动。	现在进行时 - 肯定句
The students are writing tests.	学生们正在考试。	现在进行时 - 肯定句
The teacher is explaining the lesson.	老师正在讲解课程。	现在进行时 - 肯定句
