#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
Three apples	三个苹果 (可数)	可数名词与不可数名词
Some water	一些水 (不可数)	可数名词与不可数名词
Many books	许多书 (可数)	可数名词与不可数名词
A glass of milk	一杯牛奶 (不可数)	可数名词与不可数名词
Several birds	几只鸟 (可数)	可数名词与不可数名词
Some help	一些帮助 (不可数)	可数名词与不可数名词
A lot of friends	许多朋友 (可数)	可数名词与不可数名词
Some advice	一些建议 (不可数)	可数名词与不可数名词
Two tickets	两张票 (可数)	可数名词与不可数名词
Too much sugar	太多糖 (不可数)	可数名词与不可数名词
Four legs	四条腿 (可数)	可数名词与不可数名词
More information	更多信息 (不可数)	可数名词与不可数名词
A beautiful cat	一只漂亮的猫 (可数)	可数名词与不可数名词
A lot of money	很多钱 (不可数)	可数名词与不可数名词
Five chairs	五把椅子 (可数)	可数名词与不可数名词
A lot of experience	很多经验 (不可数)	可数名词与不可数名词
One sister	一个姐妹 (可数)	可数名词与不可数名词
A lot of knowledge	很多知识 (不可数)	可数名词与不可数名词
Three children	三个孩子 (可数)	可数名词与不可数名词
Some furniture	一些家具 (不可数)	可数名词与不可数名词
