#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
red car	红色的车	形容词 - 位置: 放在名词前
big house	大房子	形容词 - 位置: 放在名词前
old book	旧书	形容词 - 位置: 放在名词前
happy dog	快乐的狗	形容词 - 位置: 放在名词前
cold water	冷水	形容词 - 位置: 放在名词前
hot coffee	热咖啡	形容词 - 位置: 放在名词前
tall building	高楼	形容词 - 位置: 放在名词前
small town	小镇	形容词 - 位置: 放在名词前
loud music	吵闹的音乐	形容词 - 位置: 放在名词前
soft pillow	软枕头	形容词 - 位置: 放在名词前
delicious food	美味的食物	形容词 - 位置: 放在名词前
interesting movie	有趣的电影	形容词 - 位置: 放在名词前
difficult problem	难题	形容词 - 位置: 放在名词前
easy test	简单的测试	形容词 - 位置: 放在名词前
clean room	干净的房间	形容词 - 位置: 放在名词前
fast car	快车	形容词 - 位置: 放在名词前
dark sky	黑色的天空	形容词 - 位置: 放在名词前
deep water	深水	形容词 - 位置: 放在名词前
sharp knife	锋利的刀	形容词 - 位置: 放在名词前
strong coffee	浓咖啡	形容词 - 位置: 放在名词前
