#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
He is taller than me.	他比我高。	形容词/副词的比较级
She is faster than him.	她比他快。	形容词/副词的比较级
It is bigger than that one.	它比那个大。	形容词/副词的比较级
This is better than that.	这个比那个好。	形容词/副词的比较级
He runs faster than her.	他比她跑得快。	形容词/副词的比较级
She sings louder than him.	她比他唱得大声。	形容词/副词的比较级
It is cheaper than before.	它比以前便宜。	形容词/副词的比较级
This is easier than I thought.	这比我想象的容易。	形容词/副词的比较级
The car is newer than mine.	这辆车比我的新。	形容词/副词的比较级
The house is larger than theirs.	这栋房子比他们的房子大。	形容词/副词的比较级
He is stronger now than he was.	他现在比以前强壮。	形容词/副词的比较级
She is smarter than him in math.	她在数学方面比他聪明。	形容词/副词的比较级
It is more beautiful than the picture.	它比图片更漂亮。	形容词/副词的比较级
The food is tastier than yesterday.	今天的食物比昨天美味。	形容词/副词的比较级
He works harder than anyone else.	他比任何人都努力。	形容词/副词的比较级
She speaks clearer than before.	她比以前说得更清楚。	形容词/副词的比较级
It is more expensive than I expected.	它比我预期的更贵。	形容词/副词的比较级
This is more interesting than the last book.	这本书比上一本书更有趣。	形容词/副词的比较级
The movie is funnier than the first one.	这部电影比第一部搞笑。	形容词/副词的比较级
He is more careful than his brother.	他比他的兄弟更细心。	形容词/副词的比较级
