#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
If it rains, we will stay home.	如果下雨，我们就会待在家里。	一类条件句
If you study hard, you will pass the exam.	如果你努力学习，你就会通过考试。	一类条件句
If the weather is nice, we will go for a walk.	如果天气好，我们就会去散步。	一类条件句
If she calls me, I will tell her the news.	如果她给我打电话，我就会告诉她这个消息。	一类条件句
If he arrives late, we will start without him.	如果他来晚了，我们就会不等他开始。	一类条件句
If we miss the bus, we will take a taxi.	如果我们错过公交车，我们就会打出租车。	一类条件句
If they finish the work, they will get paid.	如果他们完成了工作，他们就会得到报酬。	一类条件句
If you feel tired, you should rest.	如果你感到疲倦，你应该休息。	一类条件句
If I have time, I will help you.	如果我有时间，我会帮你。	一类条件句
If the train is delayed, we will be late.	如果火车晚点了，我们就会迟到。	一类条件句
If you don't eat, you will be hungry.	如果你不吃东西，你就会饿。	一类条件句
If it gets dark, we will turn on the lights.	如果天黑了，我们就会开灯。	一类条件句
If she is sick, she will see a doctor.	如果她生病了，她就会去看医生。	一类条件句
If he knows the answer, he will tell us.	如果他知道答案，他就会告诉我们。	一类条件句
If we win the game, we will celebrate.	如果我们赢了这场比赛，我们就会庆祝。	一类条件句
If they arrive early, they will wait for us.	如果他们来得早，他们就会等我们。	一类条件句
If you are thirsty, you can drink water.	如果你渴了，你可以喝水。	一类条件句
If I see him, I will say hello.	如果我看见他，我会打招呼。	一类条件句
If the store is open, we will buy some milk.	如果商店开着，我们就会买些牛奶。	一类条件句
If you need help, just ask.	如果你需要帮助，尽管问。	一类条件句
