#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I am not bad	我不坏	Be 动词 (To Be Verb) - 否定句
I am not happy	我不高兴	Be 动词 (To Be Verb) - 否定句
I am not sad	我不难过	Be 动词 (To Be Verb) - 否定句
I am not old	我不老	Be 动词 (To Be Verb) - 否定句
I am not young	我不年轻	Be 动词 (To Be Verb) - 否定句
You are not bad	你不坏	Be 动词 (To Be Verb) - 否定句
You are not happy	你不高兴	Be 动词 (To Be Verb) - 否定句
You are not sad	你不难过	Be 动词 (To Be Verb) - 否定句
You are not old	你不老了	Be 动词 (To Be Verb) - 否定句
You are not young	你不年轻	Be 动词 (To Be Verb) - 否定句
He is not bad	他不坏	Be 动词 (To Be Verb) - 否定句
He is not happy	他不高兴	Be 动词 (To Be Verb) - 否定句
He is not sad	他不难过	Be 动词 (To Be Verb) - 否定句
He is not old	他不老了	Be 动词 (To Be Verb) - 否定句
He is not young	他不年轻	Be 动词 (To Be Verb) - 否定句
She is not bad	她不坏	Be 动词 (To Be Verb) - 否定句
She is not happy	她不高兴	Be 动词 (To Be Verb) - 否定句
She is not sad	她不难过	Be 动词 (To Be Verb) - 否定句
She is not old	她不老了	Be 动词 (To Be Verb) - 否定句
She is not young	她不年轻	Be 动词 (To Be Verb) - 否定句
It is not bad	它不坏	Be 动词 (To Be Verb) - 否定句
It is not happy	它不高兴	Be 动词 (To Be Verb) - 否定句
It is not sad	它不难过	Be 动词 (To Be Verb) - 否定句
It is not old	它不老了	Be 动词 (To Be Verb) - 否定句
It is not young	它不年轻	Be 动词 (To Be Verb) - 否定句
We are not bad	我们不坏	Be 动词 (To Be Verb) - 否定句
We are not happy	我们不高兴	Be 动词 (To Be Verb) - 否定句
We are not sad	我们不难过	Be 动词 (To Be Verb) - 否定句
We are not old	我们不老了	Be 动词 (To Be Verb) - 否定句
We are not young	我们不年轻	Be 动词 (To Be Verb) - 否定句
They are not bad	他们不坏	Be 动词 (To Be Verb) - 否定句
They are not happy	他们不高兴	Be 动词 (To Be Verb) - 否定句
They are not sad	他们不难过	Be 动词 (To Be Verb) - 否定句
They are not old	他们不老了	Be 动词 (To Be Verb) - 否定句
They are not young	他们不年轻	Be 动词 (To Be Verb) - 否定句
