#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
She sings beautifully.	她唱得很美妙。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
He is really tall.	他真的很高。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
They walked very slowly.	他们走得非常慢。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
He quickly ate his lunch.	他很快地吃了午饭。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
The exam was surprisingly easy.	考试出人意料地简单。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
She often goes to the library.	她经常去图书馆。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
He will probably come tomorrow.	他可能明天会来。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
They have already finished the project.	他们已经完成了项目。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
She completely forgot about the meeting.	她完全忘记了会议。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
He spoke softly so as not to wake the baby.	他轻声地说话，以免吵醒婴儿。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
The movie was incredibly boring.	这部电影非常无聊。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
She is always late for appointments.	她总是约会迟到。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
He reads quickly and efficiently.	他读得快速而高效。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
They hardly ever go to the cinema.	他们几乎不去电影院。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
She works very hard every day.	她每天都非常努力地工作。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
He lives nearby.	他就住在附近。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
She put the book there.	她把书放在那里。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
The cat is sleeping upstairs.	猫正在楼上睡觉。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
Fortunately, they arrived on time.	幸运的是，他们准时到达了。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
Honestly, I don't know the answer.	老实说，我不知道答案。	副词 - 位置: 修饰动词、形容词或副词，及其在句中的常见位置
