#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
The book is in the bag.	书在包里。	介词 - 地点 (in, on, at): 表示物体的位置
The picture is on the wall.	画在墙上。	介词 - 地点 (in, on, at): 表示物体的位置
I am at home.	我在家。	介词 - 地点 (in, on, at): 表示物体的位置
The cat is in the box.	猫在盒子里。	介词 - 地点 (in, on, at): 表示物体的位置
The key is on the table.	钥匙在桌子上。	介词 - 地点 (in, on, at): 表示物体的位置
He is at school.	他在学校。	介词 - 地点 (in, on, at): 表示物体的位置
She lives in China.	她住在中国。	介词 - 地点 (in, on, at): 表示物体的位置
The bird is on the tree.	鸟在树上。	介词 - 地点 (in, on, at): 表示物体的位置
We are at the park.	我们在公园。	介词 - 地点 (in, on, at): 表示物体的位置
The money is in my wallet.	钱在我的钱包里。	介词 - 地点 (in, on, at): 表示物体的位置
The food is on the plate.	食物在盘子里。	介词 - 地点 (in, on, at): 表示物体的位置
They are at the airport.	他们在机场。	介词 - 地点 (in, on, at): 表示物体的位置
The fish is in the water.	鱼在水里。	介词 - 地点 (in, on, at): 表示物体的位置
The sticker is on the door.	贴纸在门上。	介词 - 地点 (in, on, at): 表示物体的位置
He works at a bank.	他在银行工作。	介词 - 地点 (in, on, at): 表示物体的位置
The juice is in the fridge.	果汁在冰箱里。	介词 - 地点 (in, on, at): 表示物体的位置
The information is on the website.	信息在网站上。	介词 - 地点 (in, on, at): 表示物体的位置
She is at the doctor's office.	她在医生办公室。	介词 - 地点 (in, on, at): 表示物体的位置
The letter is in the envelope.	信在信封里。	介词 - 地点 (in, on, at): 表示物体的位置
We met at the cafe.	我们在咖啡馆见面。	介词 - 地点 (in, on, at): 表示物体的位置
