#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I was born in 1990.	我出生于1990年。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The meeting is on Monday.	会议在星期一。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
See you at 5 PM.	下午5点见。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
We go swimming in summer.	我们夏天去游泳。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The party is on Saturday night.	派对在星期六晚上。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
He wakes up at 7 AM.	他早上7点醒来。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
She will arrive in July.	她将于七月到达。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The concert is on June 15th.	音乐会是6月15日。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
They eat dinner at 6 PM.	他们下午6点吃晚饭。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The flowers bloom in spring.	花在春天开放。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The movie starts on Friday.	电影在星期五开始。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
I go to bed at 10 PM.	我晚上10点睡觉。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The leaves change color in autumn.	树叶在秋天变色。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The event is on December 25th.	活动在12月25日。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
We have a break at noon.	我们中午休息。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The snow falls in winter.	雪在冬天落下。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The store is open on Sundays.	商店星期天营业。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
She finishes work at 5:30 PM.	她下午5点半完成工作。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The birds migrate in the fall.	鸟类在秋天迁徙。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
The deadline is on the 31st.	截止日期是31号。	介词 - 时间 (in, on, at): 表示具体的时间点、日期、月份等
