#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I like pizza.	我喜欢披萨。	人称代词 - 主格
I am a student.	我是一名学生。	人称代词 - 主格
I can sing.	我会唱歌。	人称代词 - 主格
I have a cat.	我有一只猫。	人称代词 - 主格
I live in a big city.	我住在一个大城市。	人称代词 - 主格
You are very kind.	你非常善良。	人称代词 - 主格
You can help me.	你可以帮我。	人称代词 - 主格
You look happy.	你看起来很高兴。	人称代词 - 主格
You speak English well.	你说英语很好。	人称代词 - 主格
You need to rest.	你需要休息。	人称代词 - 主格
He is my brother.	他是我的哥哥/弟弟。	人称代词 - 主格
He plays soccer.	他踢足球。	人称代词 - 主格
He drives a red car.	他开一辆红色的车。	人称代词 - 主格
He works in an office.	他在办公室工作。	人称代词 - 主格
He reads a lot.	他读很多书。	人称代词 - 主格
She is a doctor.	她是一名医生。	人称代词 - 主格
She sings beautifully.	她唱得很美。	人称代词 - 主格
She is wearing a blue dress.	她穿着一条蓝色的裙子。	人称代词 - 主格
She teaches mathematics.	她教数学。	人称代词 - 主格
She likes to travel.	她喜欢旅行。	人称代词 - 主格
It is raining.	正在下雨。	人称代词 - 主格
It is a sunny day.	这是晴天。	人称代词 - 主格
It belongs to me.	它属于我。	人称代词 - 主格
It tastes good.	它尝起来味道不错。	人称代词 - 主格
It looks interesting.	它看起来很有趣。	人称代词 - 主格
We are friends.	我们是朋友。	人称代词 - 主格
We go to school together.	我们一起去上学。	人称代词 - 主格
We enjoy the music.	我们喜欢这音乐。	人称代词 - 主格
We live in the same neighborhood.	我们住在同一个街区。	人称代词 - 主格
We are learning English.	我们正在学习英语。	人称代词 - 主格
They are playing in the park.	他们在公园里玩耍。	人称代词 - 主格
They are tourists.	他们是游客。	人称代词 - 主格
They bought some souvenirs.	他们买了一些纪念品。	人称代词 - 主格
They seem very excited.	他们似乎很兴奋。	人称代词 - 主格
