#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I have finished my homework.	我已经完成了我的家庭作业。	现在完成时 - 肯定句
She has lived here for ten years.	她住在这里已经十年了。	现在完成时 - 肯定句
We have seen that movie before.	我们以前看过那部电影。	现在完成时 - 肯定句
He has visited Paris twice.	他去过巴黎两次。	现在完成时 - 肯定句
They have already eaten lunch.	他们已经吃过午饭了。	现在完成时 - 肯定句
The company has grown a lot.	这家公司已经发展了很多。	现在完成时 - 肯定句
You have made great progress.	你取得了很大的进步。	现在完成时 - 肯定句
It has rained all day.	雨下了一整天。	现在完成时 - 肯定句
She has learned to speak Spanish.	她学会了说西班牙语。	现在完成时 - 肯定句
We have known each other since childhood.	我们从小就认识。	现在完成时 - 肯定句
He has been a doctor for five years.	他当医生已经五年了。	现在完成时 - 肯定句
They have bought a new car.	他们买了一辆新车。	现在完成时 - 肯定句
I have never tried sushi.	我从没吃过寿司。	现在完成时 - 肯定句
The weather has been nice lately.	最近天气一直很好。	现在完成时 - 肯定句
She has lost her keys.	她弄丢了她的钥匙。	现在完成时 - 肯定句
We have discussed this issue many times.	我们已经讨论过这个问题很多次。	现在完成时 - 肯定句
He has just arrived.	他刚刚到达。	现在完成时 - 肯定句
They have started a new project.	他们启动了一个新项目。	现在完成时 - 肯定句
My mother has cooked dinner.	我妈妈做了晚饭。	现在完成时 - 肯定句
I have read this book.	我读过这本书。	现在完成时 - 肯定句
