#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
My car is repaired every year.	我的车每年都会被修理。	被动语态 - 一般现在时
Coffee is grown in many countries.	咖啡在很多国家都有种植。	被动语态 - 一般现在时
These books are read by millions of people.	这些书被数百万人阅读。	被动语态 - 一般现在时
The mail is delivered every morning.	邮件每天早上都会被派送。	被动语态 - 一般现在时
The house is cleaned twice a week.	这所房子每周被打扫两次。	被动语态 - 一般现在时
Her songs are loved by everyone.	她的歌被所有人喜爱。	被动语态 - 一般现在时
The door is opened by the janitor.	门是由管理员打开的。	被动语态 - 一般现在时
This report is written in English.	这份报告是用英语写的。	被动语态 - 一般现在时
Flowers are sold at the market.	花在市场上被出售。	被动语态 - 一般现在时
The windows are washed regularly.	窗户会定期被清洗。	被动语态 - 一般现在时
Meals are served at noon and at 7 PM.	午餐在中午和晚上7点被供应。	被动语态 - 一般现在时
Many trees are planted in the park.	公园里种了很多树。	被动语态 - 一般现在时
The news is broadcast on TV.	新闻在电视上被广播。	被动语态 - 一般现在时
These products are made in China.	这些产品是中国制造的。	被动语态 - 一般现在时
The letter is sent by post.	这封信是通过邮寄寄出的。	被动语态 - 一般现在时
The cake is baked by my mother.	蛋糕是我的妈妈烤的。	被动语态 - 一般现在时
Many languages are spoken in India.	印度有许多语言被说。	被动语态 - 一般现在时
The museum is visited by thousands of tourists.	这座博物馆被成千上万的游客参观。	被动语态 - 一般现在时
This article is updated frequently.	这篇文章经常被更新。	被动语态 - 一般现在时
The rules are explained to the new students.	规则会向新学生被解释。	被动语态 - 一般现在时
