#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
If you heat ice, it melts.	如果你加热冰，它就会融化。	零类条件句
If plants don't get sunlight, they die.	如果植物没有阳光，它们就会死亡。	零类条件句
If you mix red and blue, you get purple.	如果你混合红色和蓝色，你会得到紫色。	零类条件句
If water boils, it turns into steam.	如果水沸腾，它就会变成蒸汽。	零类条件句
If you drop a glass, it breaks.	如果你摔碎一个玻璃杯，它就会碎。	零类条件句
If you are tired, you feel sleepy.	如果你累了，你就会感到困倦。	零类条件句
If it rains, the ground gets wet.	如果下雨，地面就会变湿。	零类条件句
If you don't eat, you get hungry.	如果你不吃饭，你就会饿。	零类条件句
If you study hard, you learn more.	如果你努力学习，你会学到更多。	零类条件句
If you touch a hot stove, you get burned.	如果你触摸热炉子，你会烫伤。	零类条件句
If you cut your finger, it bleeds.	如果你割伤手指，它就会流血。	零类条件句
If you don't sleep enough, you feel tired.	如果你睡眠不足，你就会感到疲倦。	零类条件句
If the sun sets, it gets dark.	如果太阳落山，天就会变黑。	零类条件句
If you are thirsty, you drink water.	如果你渴了，你就会喝水。	零类条件句
If you are hungry, you eat food.	如果你饿了，你就会吃东西。	零类条件句
If you freeze water, it becomes ice.	如果你冷冻水，它就会变成冰。	零类条件句
If you mix yellow and blue, you get green.	如果你混合黄色和蓝色，你会得到绿色。	零类条件句
If you don't water plants, they dry up.	如果你不给植物浇水，它们就会枯萎。	零类条件句
If you are cold, you put on a coat.	如果你冷，你会穿上外套。	零类条件句
If you feel sick, you see a doctor.	如果你感觉不舒服，你会去看医生。	零类条件句
