#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I don't like coffee.	我不喜欢咖啡。	一般现在时 - 否定句和疑问句
Do you speak English?	你会说英语吗？	一般现在时 - 否定句和疑问句
He doesn't play soccer.	他不踢足球。	一般现在时 - 否定句和疑问句
Does she read books?	她读书吗？	一般现在时 - 否定句和疑问句
It does not rain here often.	这里不常下雨。	一般现在时 - 否定句和疑问句
Do we understand the lesson?	我们理解这节课了吗？	一般现在时 - 否定句和疑问句
They don't live in the city.	他们不住在城市里。	一般现在时 - 否定句和疑问句
Does the dog bark at night?	狗晚上叫吗？	一般现在时 - 否定句和疑问句
I don't want to go.	我不想去。	一般现在时 - 否定句和疑问句
Do you need help?	你需要帮助吗？	一般现在时 - 否定句和疑问句
He does not eat meat.	他不吃肉。	一般现在时 - 否定句和疑问句
Does she like chocolate?	她喜欢巧克力吗？	一般现在时 - 否定句和疑问句
It doesn't work anymore.	它不再工作了。	一般现在时 - 否定句和疑问句
Do we have enough time?	我们有足够的时间吗？	一般现在时 - 否定句和疑问句
They do not know the answer.	他们不知道答案。	一般现在时 - 否定句和疑问句
Does the bus stop here?	公共汽车在这里停吗？	一般现在时 - 否定句和疑问句
I don't understand you.	我不明白你。	一般现在时 - 否定句和疑问句
Do you have any questions?	你有什么问题吗？	一般现在时 - 否定句和疑问句
He doesn't watch TV.	他不看电视。	一般现在时 - 否定句和疑问句
Does she play the guitar?	她弹吉他吗？	一般现在时 - 否定句和疑问句
They don't have any money.	他们没钱。	一般现在时 - 否定句和疑问句
Do you know the way?	你知道路吗？	一般现在时 - 否定句和疑问句
She doesn't work on Sundays.	她星期天不工作。	一般现在时 - 否定句和疑问句
Does he like to cook?	他喜欢做饭吗？	一般现在时 - 否定句和疑问句
We do not need that.	我们不需要那个。	一般现在时 - 否定句和疑问句
Do they live near here?	他们住在附近吗？	一般现在时 - 否定句和疑问句
He doesn't drink tea.	他不喝茶。	一般现在时 - 否定句和疑问句
Does she have a car?	她有车吗？	一般现在时 - 否定句和疑问句
It doesn't matter.	没关系。	一般现在时 - 否定句和疑问句
Do you agree?	你同意吗？	一般现在时 - 否定句和疑问句
