#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I enjoy swimming.	我喜欢游泳。(动名词)	常见动词后跟动名词或不定式
I like to swim.	我喜欢游泳。(不定式)	常见动词后跟动名词或不定式
He hates waiting.	他讨厌等待。(动名词)	常见动词后跟动名词或不定式
She loves to sing.	她喜欢唱歌。(不定式)	常见动词后跟动名词或不定式
They started learning.	他们开始学习。(动名词)	常见动词后跟动名词或不定式
We began to study.	我们开始学习。(不定式)	常见动词后跟动名词或不定式
He stopped smoking.	他戒烟了。(动名词)	常见动词后跟动名词或不定式
She needs to eat.	她需要吃饭。(不定式)	常见动词后跟动名词或不定式
I want to travel.	我想旅行。(不定式)	常见动词后跟动名词或不定式
They decided to leave.	他们决定离开。(不定式)	常见动词后跟动名词或不定式
He finished cleaning.	他完成了清洁。(动名词)	常见动词后跟动名词或不定式
She avoided speaking.	她避免说话。(动名词)	常见动词后跟动名词或不定式
We considered moving.	我们考虑搬家。(动名词)	常见动词后跟动名词或不定式
I regret saying that.	我后悔说了那句话。(动名词)	常见动词后跟动名词或不定式
He remembered to call.	他记得打电话了。(不定式)	常见动词后跟动名词或不定式
She forgot to lock the door.	她忘记锁门了。(不定式)	常见动词后跟动名词或不定式
They learned to drive.	他们学会了开车。(不定式)	常见动词后跟动名词或不定式
We practiced playing.	我们练习玩耍。(动名词)	常见动词后跟动名词或不定式
I prefer reading.	我更喜欢阅读。(动名词)	常见动词后跟动名词或不定式
He prefers to read.	他更喜欢阅读。(不定式)	常见动词后跟动名词或不定式
