#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
two books	两本书	名词的规则单复数
three apples	三个苹果	名词的规则单复数
many dogs	许多狗	名词的规则单复数
two cars	两辆汽车	名词的规则单复数
five chairs	五把椅子	名词的规则单复数
two pens	两支钢笔	名词的规则单复数
three buses	三辆公交车	名词的规则单复数
many shoes	许多鞋子	名词的规则单复数
two keys	两把钥匙	名词的规则单复数
many boys	许多男孩	名词的规则单复数
three girls	三个女孩	名词的规则单复数
many friends	许多朋友	名词的规则单复数
two houses	两座房子	名词的规则单复数
three bananas	三个香蕉	名词的规则单复数
four tables	四张桌子	名词的规则单复数
many letters	许多信件	名词的规则单复数
five flowers	五朵花	名词的规则单复数
two cups	两个杯子	名词的规则单复数
three schools	三所学校	名词的规则单复数
five pencils	五支铅笔	名词的规则单复数
two gardens	两个花园	名词的规则单复数
many birds	许多小鸟	名词的规则单复数
three pears	三个梨	名词的规则单复数
four windows	四个窗户	名词的规则单复数
many doctors	许多医生	名词的规则单复数
two emails	两封邮件	名词的规则单复数
three rooms	三个房间	名词的规则单复数
many sweets	许多糖果	名词的规则单复数
five students	五个学生	名词的规则单复数
two cats	两只猫	名词的规则单复数
