#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I like apples.	我喜欢苹果。	冠词 - 零冠词
Dogs are loyal.	狗很忠诚。	冠词 - 零冠词
Cats are cute.	猫很可爱。	冠词 - 零冠词
Houses are expensive.	房子很贵。	冠词 - 零冠词
I drink water.	我喝水。	冠词 - 零冠词
He eats rice.	他吃米饭。	冠词 - 零冠词
She loves music.	她喜欢音乐。	冠词 - 零冠词
They play soccer.	他们踢足球。	冠词 - 零冠词
We need help.	我们需要帮助。	冠词 - 零冠词
Children like candy.	孩子们喜欢糖果。	冠词 - 零冠词
Flowers are beautiful.	花很漂亮。	冠词 - 零冠词
Books are informative.	书很有用。	冠词 - 零冠词
Cars are useful.	汽车很有用。	冠词 - 零冠词
Trees are tall.	树很高。	冠词 - 零冠词
Mountains are majestic.	山很雄伟。	冠词 - 零冠词
Air is essential.	空气是必需的。	冠词 - 零冠词
Love is important.	爱很重要。	冠词 - 零冠词
Knowledge is power.	知识就是力量。	冠词 - 零冠词
Time is precious.	时间很宝贵。	冠词 - 零冠词
Patience is a virtue.	耐心是一种美德。	冠词 - 零冠词
