#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
Swimming is good exercise.	游泳是很好的锻炼。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Reading is my favorite hobby.	阅读是我最喜欢的爱好。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Learning takes time and effort.	学习需要时间和努力。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
I enjoy cooking for my family.	我喜欢为家人做饭。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
He avoids speaking in public.	他避免在公共场合讲话。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
She loves singing in the shower.	她喜欢在淋浴时唱歌。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
They practice playing the guitar daily.	他们每天练习弹吉他。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
We appreciate having your help.	我们感谢你的帮助。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
He finished cleaning the house.	他完成了打扫房子。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
She considered moving to a new city.	她考虑搬到一个新的城市。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Seeing is believing.	眼见为实。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Smoking is bad for your health.	吸烟对你的健康有害。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Traveling broadens your mind.	旅行开阔你的视野。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Eating healthy is important.	健康饮食很重要。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
Sleeping well is essential for health.	睡好觉对健康至关重要。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
I hate waiting in long lines.	我讨厌排长队。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
He spent the afternoon fishing.	他下午都在钓鱼。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
She started learning French.	她开始学习法语。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
They are good at playing chess.	他们擅长下象棋。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
We are interested in learning more.	我们有兴趣了解更多。	动名词 (Gerunds) 作主语/宾语: V-ing 形式作名词用
