#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
The store is next to the bank.	商店在银行旁边。	复合介词
The car is parked in front of the house.	车停在房子前面。	复合介词
The cat is behind the sofa.	猫在沙发后面。	复合介词
The book is between the two notebooks.	书在两个笔记本之间。	复合介词
The park is across from the school.	公园在学校对面。	复合介词
The lamp is on top of the table.	灯在桌子上面。	复合介词
The dog is under the table.	狗在桌子下面。	复合介词
He lives close to the station.	他住在车站附近。	复合介词
The airport is far from the city.	机场离城市很远。	复合介词
She stood beside the window.	她站在窗户旁边。	复合介词
The river runs along the road.	河流沿着道路流淌。	复合介词
The picture hangs above the fireplace.	照片挂在壁炉上方。	复合介词
He is sitting around the table.	他坐在桌子旁。	复合介词
The cat jumped over the fence.	猫跳过了栅栏。	复合介词
The children played throughout the day.	孩子们玩了一整天。	复合介词
We walked through the forest.	我们穿过了森林。	复合介词
She looked outside of the window.	她看向窗外。	复合介词
He ran away from the dog.	他跑开了，远离那只狗。	复合介词
They live near to the park.	他们住在公园附近。	复合介词
The store is located opposite to the theater.	商店位于剧院对面。	复合介词
