#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
Close the door.	关门。	祈使句
Open the window.	打开窗户。	祈使句
Please sit down.	请坐。	祈使句
Be quiet.	安静。	祈使句
Listen carefully.	仔细听。	祈使句
Don't touch that.	别碰那个。	祈使句
Go away.	走开。	祈使句
Come here.	过来。	祈使句
Help me.	帮帮我。	祈使句
Wait here.	在这里等。	祈使句
Be careful.	小心。	祈使句
Don't worry.	别担心。	祈使句
Please be patient.	请耐心点。	祈使句
Turn left.	左转。	祈使句
Turn right.	右转。	祈使句
Stop!	停！	祈使句
Look at me.	看着我。	祈使句
Don't be late.	别迟到。	祈使句
Have a good day.	祝你愉快。	祈使句
Enjoy your meal.	祝你用餐愉快。	祈使句
