#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
Reading books is fun.	读书很有趣。(动名词)	动名词和不定式
To read books is fun.	读书很有趣。(不定式)	动名词和不定式
Swimming in the ocean is refreshing.	在海里游泳令人耳目一新。(动名词)	动名词和不定式
To swim in the ocean is refreshing.	在海里游泳令人耳目一新。(不定式)	动名词和不定式
He enjoys watching movies.	他喜欢看电影。(动名词)	动名词和不定式
He enjoys to watch movies.	他喜欢看电影。(不定式)	动名词和不定式
She is good at singing.	她擅长唱歌。(动名词)	动名词和不定式
She is good at to sing.	她擅长唱歌。(不定式)	动名词和不定式
They are planning on moving.	他们计划搬家。(动名词)	动名词和不定式
They are planning on to move.	他们计划搬家。(不定式)	动名词和不定式
We finished cleaning the house.	我们完成了打扫房子。(动名词)	动名词和不定式
We finished to clean the house.	我们完成了打扫房子。(不定式)	动名词和不定式
I like listening to music.	我喜欢听音乐。(动名词)	动名词和不定式
I like to listen to music.	我喜欢听音乐。(不定式)	动名词和不定式
He is interested in learning.	他对学习很感兴趣。(动名词)	动名词和不定式
He is interested in to learn.	他对学习很感兴趣。(不定式)	动名词和不定式
She keeps talking.	她不停地说话。(动名词)	动名词和不定式
She keeps to talk.	她不停地说话。(不定式)	动名词和不定式
They avoided answering.	他们避免回答。(动名词)	动名词和不定式
They avoided to answer.	他们避免回答。(不定式)	动名词和不定式
Learning is important.	学习很重要。(动名词)	动名词和不定式
To learn is important.	学习很重要。(不定式)	动名词和不定式
He admitted stealing.	他承认偷窃。(动名词)	动名词和不定式
He admitted to steal.	他承认偷窃。(不定式)	动名词和不定式
We need to discuss.	我们需要讨论。(不定式)	动名词和不定式
We need discussing.	我们需要讨论。(动名词)	动名词和不定式
She decided to travel.	她决定去旅行。(不定式)	动名词和不定式
She decided travelling.	她决定旅行。(动名词)	动名词和不定式
They promised to help.	他们答应帮忙。(不定式)	动名词和不定式
They promised helping.	他们答应帮忙。(动名词)	动名词和不定式
I want to eat out.	我想出去吃饭。(不定式)	动名词和不定式
I want eating out.	我想出去吃饭。(动名词)	动名词和不定式
He offered to pay.	他主动提出付钱。(不定式)	动名词和不定式
He offered paying.	他主动提出付钱。(动名词)	动名词和不定式
