#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
a book	一本书	冠词 - a / an: 用于单数可数名词前
an apple	一个苹果	冠词 - a / an: 用于单数可数名词前
a car	一辆汽车	冠词 - a / an: 用于单数可数名词前
an orange	一个橙子	冠词 - a / an: 用于单数可数名词前
a dog	一只狗	冠词 - a / an: 用于单数可数名词前
an umbrella	一把雨伞	冠词 - a / an: 用于单数可数名词前
a cat	一只猫	冠词 - a / an: 用于单数可数名词前
a house	一栋房子	冠词 - a / an: 用于单数可数名词前
an egg	一个鸡蛋	冠词 - a / an: 用于单数可数名词前
a table	一张桌子	冠词 - a / an: 用于单数可数名词前
an idea	一个想法	冠词 - a / an: 用于单数可数名词前
a chair	一把椅子	冠词 - a / an: 用于单数可数名词前
an ant	一只蚂蚁	冠词 - a / an: 用于单数可数名词前
a tree	一棵树	冠词 - a / an: 用于单数可数名词前
an hour	一个小时	冠词 - a / an: 用于单数可数名词前
a flower	一朵花	冠词 - a / an: 用于单数可数名词前
a river	一条河	冠词 - a / an: 用于单数可数名词前
an elephant	一只大象	冠词 - a / an: 用于单数可数名词前
a mountain	一座山	冠词 - a / an: 用于单数可数名词前
an actor	一个演员	冠词 - a / an: 用于单数可数名词前
