#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
This is the book that I am reading.	我正在读这本书。	限定性定语从句
This is the man who lives next door.	这是住在隔壁的男人。	限定性定语从句
This is the car which is parked outside.	这是停在外面的汽车。	限定性定语从句
This is the movie that we watched last night.	这是我们昨晚看的电影。	限定性定语从句
These are the students who passed the exam.	这些是通过考试的学生。	限定性定语从句
This is the job that I want.	这是我想要的工作。	限定性定语从句
This is the music which they are playing.	这是他们正在播放的音乐。	限定性定语从句
These are the people who helped us.	这些人帮助了我们。	限定性定语从句
This is the way that he explained it.	这是他解释它的方式。	限定性定语从句
These are the gifts that we received.	这些是我们收到的礼物。	限定性定语从句
This is the teacher whom the students admire.	这是学生们崇拜的老师。	限定性定语从句
This is the advice that you gave me.	这是你给我的建议。	限定性定语从句
This is the song that is playing on the radio.	这是收音机里正在播放的歌。	限定性定语从句
This is the dress which she is wearing.	这是她穿的裙子。	限定性定语从句
These are the children who are playing in the park.	这些是在公园里玩的孩子们。	限定性定语从句
This is the story that he told.	这是他讲的故事。	限定性定语从句
This is the manager whom I spoke to.	这是我与之交谈过的经理。	限定性定语从句
This is the idea that came to my mind.	这是我脑海中出现的想法。	限定性定语从句
This is the artist whose paintings are famous.	这是那位画家，他的画很有名。	限定性定语从句
This is the dog that bit me.	这是咬了我的狗。	限定性定语从句
This is the woman that I saw yesterday.	这是我昨天看到的那个女人。	限定性定语从句
This is the computer which he bought.	这是他买的电脑。	限定性定语从句
These are the books that are on the table.	这些是桌子上的书。	限定性定语从句
This is the team that won the championship.	这是赢了锦标赛的队伍。	限定性定语从句
This is the report that you submitted.	这是你提交的报告。	限定性定语从句
This is the child who found the lost wallet.	这是找到失物钱包的孩子。	限定性定语从句
This is the car that is in the garage.	这是在车库里的汽车。	限定性定语从句
This is the person whose name is on the list.	这是名字在名单上的人。	限定性定语从句
This is the movie that critics praised.	这是评论家称赞的电影。	限定性定语从句
This is the cat which is sleeping on the sofa.	这是睡在沙发上的猫。	限定性定语从句
