#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I don't know what he wants.	我不知道他想要什么。	名词性从句 (Wh-clause)
She asked why I was late.	她问我为什么迟到。	名词性从句 (Wh-clause)
Tell me how you did it.	告诉我你是怎么做到的。	名词性从句 (Wh-clause)
He wondered whether it was true.	他想知道那是否是真的。	名词性从句 (Wh-clause)
We discussed what to do next.	我们讨论了下一步该做什么。	名词性从句 (Wh-clause)
Can you explain why you left?	你能解释一下你为什么离开吗？	名词性从句 (Wh-clause)
Let's consider how we can improve.	让我们考虑一下我们如何改进。	名词性从句 (Wh-clause)
I'm not sure whether they will come.	我不确定他们是否会来。	名词性从句 (Wh-clause)
She wondered what happened.	她想知道发生了什么。	名词性从句 (Wh-clause)
He explained how the machine worked.	他解释了机器是如何工作的。	名词性从句 (Wh-clause)
We need to decide whether to go.	我们需要决定是否要去。	名词性从句 (Wh-clause)
I can't remember what I said.	我不记得我说了什么。	名词性从句 (Wh-clause)
They asked why she was crying.	他们问她为什么哭。	名词性从句 (Wh-clause)
Show me how you solved the puzzle.	给我看看你是怎么解开谜题的。	名词性从句 (Wh-clause)
He questioned whether the plan was feasible.	他质疑这个计划是否可行。	名词性从句 (Wh-clause)
The teacher explained what the homework was.	老师解释了家庭作业是什么。	名词性从句 (Wh-clause)
She asked how long it would take.	她问需要多长时间。	名词性从句 (Wh-clause)
I'm considering whether to accept the offer.	我正在考虑是否接受这个提议。	名词性从句 (Wh-clause)
He wonders what she is thinking.	他想知道她在想什么。	名词性从句 (Wh-clause)
They debated whether they should continue.	他们辩论是否应该继续。	名词性从句 (Wh-clause)
What you need is more practice.	你需要的是更多的练习。	名词性从句 (Wh-clause)
Why he failed is still a mystery.	他为什么失败仍然是个谜。	名词性从句 (Wh-clause)
How they managed it is amazing.	他们是怎么做到的真是令人惊讶。	名词性从句 (Wh-clause)
Whether it will rain is uncertain.	是否会下雨还不确定。	名词性从句 (Wh-clause)
