#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I didn't go to the party.	我没去参加聚会。	一般过去时 - 否定句和疑问句 (did)
Did you see the movie?	你看过那部电影了吗？	一般过去时 - 否定句和疑问句 (did)
She didn't like the food.	她不喜欢那食物。	一般过去时 - 否定句和疑问句 (did)
Did he call you yesterday?	他昨天给你打电话了吗？	一般过去时 - 否定句和疑问句 (did)
They didn't finish the work.	他们没有完成工作。	一般过去时 - 否定句和疑问句 (did)
Did we win the game?	我们赢了比赛吗？	一般过去时 - 否定句和疑问句 (did)
I didn't know that.	我不知道那个。	一般过去时 - 否定句和疑问句 (did)
Did she tell you the truth?	她告诉你真相了吗？	一般过去时 - 否定句和疑问句 (did)
He didn't understand the question.	他不明白这个问题。	一般过去时 - 否定句和疑问句 (did)
Did they arrive on time?	他们准时到达了吗？	一般过去时 - 否定句和疑问句 (did)
We didn't watch TV last night.	我们昨晚没看电视。	一般过去时 - 否定句和疑问句 (did)
Did you have a good time?	你玩得开心吗？	一般过去时 - 否定句和疑问句 (did)
I didn't eat lunch today.	我今天没吃午饭。	一般过去时 - 否定句和疑问句 (did)
Did she buy a new car?	她买了一辆新车吗？	一般过去时 - 否定句和疑问句 (did)
He didn't play football.	他没踢足球。	一般过去时 - 否定句和疑问句 (did)
Did they visit the museum?	他们参观博物馆了吗？	一般过去时 - 否定句和疑问句 (did)
We didn't study for the exam.	我们没有为考试复习。	一般过去时 - 否定句和疑问句 (did)
Did you clean your room?	你打扫你的房间了吗？	一般过去时 - 否定句和疑问句 (did)
I didn't want to go.	我不想去。	一般过去时 - 否定句和疑问句 (did)
Did he help you with your homework?	他帮你做作业了吗？	一般过去时 - 否定句和疑问句 (did)
She didn't sing a song.	她没有唱歌。	一般过去时 - 否定句和疑问句 (did)
Did you read the book?	你看过这本书了吗？	一般过去时 - 否定句和疑问句 (did)
He didn't cook dinner.	他没有做晚餐。	一般过去时 - 否定句和疑问句 (did)
Did they listen to the radio?	他们听收音机了吗？	一般过去时 - 否定句和疑问句 (did)
We didn't walk to school.	我们没有走路上学。	一般过去时 - 否定句和疑问句 (did)
Did you enjoy the concert?	你喜欢这场音乐会吗？	一般过去时 - 否定句和疑问句 (did)
I didn't drink coffee.	我没喝咖啡。	一般过去时 - 否定句和疑问句 (did)
Did she wear a red dress?	她穿了红色的裙子吗？	一般过去时 - 否定句和疑问句 (did)
He didn't open the window.	他没有打开窗户。	一般过去时 - 否定句和疑问句 (did)
Did they ask you for help?	他们向你寻求帮助了吗？	一般过去时 - 否定句和疑问句 (did)
