#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
To travel is my dream.	旅行是我的梦想。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To read is to learn.	阅读就是学习。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To err is human.	人非圣贤，孰能无过。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
I like to swim.	我喜欢游泳。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
She wants to sing.	她想唱歌。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
He needs to study.	他需要学习。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
They decided to leave.	他们决定离开。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
We hope to win.	我们希望获胜。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
I love to cook.	我喜欢做饭。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
She hates to wait.	她讨厌等待。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To see is to believe.	眼见为实。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To sleep is essential.	睡觉是必要的。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To eat is necessary.	吃饭是必须的。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To learn is important.	学习很重要。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
To succeed takes effort.	成功需要努力。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
He refused to listen.	他拒绝倾听。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
She promised to help.	她答应帮忙。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
They plan to visit.	他们计划拜访。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
We tried to understand.	我们试图理解。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
I forgot to call.	我忘了打电话。	不定式 (Infinitives) 作主语/宾语: to + V 形式作名词用
