#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I have not finished my homework yet.	我还没做完我的家庭作业。	现在完成时 - 否定句和疑问句
Has she lived here for ten years?	她住在这里有十年了吗？	现在完成时 - 否定句和疑问句
We have not seen that movie before.	我们以前没看过那部电影。	现在完成时 - 否定句和疑问句
Has he visited Paris twice?	他去过巴黎两次吗？	现在完成时 - 否定句和疑问句
They have not eaten lunch yet.	他们还没吃午饭。	现在完成时 - 否定句和疑问句
Has the company grown a lot?	这家公司发展了很多吗？	现在完成时 - 否定句和疑问句
You have not made much progress.	你没有取得太大进步。	现在完成时 - 否定句和疑问句
Has it rained all day?	今天一直下雨吗？	现在完成时 - 否定句和疑问句
She has not learned to speak Spanish yet.	她还没学会说西班牙语。	现在完成时 - 否定句和疑问句
Have we known each other since childhood?	我们从小就认识吗？	现在完成时 - 否定句和疑问句
He has not been a doctor for five years.	他当医生不到五年。	现在完成时 - 否定句和疑问句
Have they bought a new car?	他们买新车了吗？	现在完成时 - 否定句和疑问句
I have never tried sushi.	我从没吃过寿司。	现在完成时 - 否定句和疑问句
Has the weather been nice lately?	最近天气一直很好吗？	现在完成时 - 否定句和疑问句
She has not lost her keys.	她没有弄丢她的钥匙。	现在完成时 - 否定句和疑问句
Have we discussed this issue many times?	我们讨论过这个问题很多次了吗？	现在完成时 - 否定句和疑问句
Has he just arrived?	他刚到吗？	现在完成时 - 否定句和疑问句
Have they started a new project?	他们启动新项目了吗？	现在完成时 - 否定句和疑问句
My mother has not cooked dinner.	我妈妈还没做晚饭。	现在完成时 - 否定句和疑问句
Have you read this book?	你读过这本书吗？	现在完成时 - 否定句和疑问句
I haven't seen him since last week.	自从上周以来我就没见过他。	现在完成时 - 否定句和疑问句
She hasn't been to London since 2010.	自从2010年以来她就没去过伦敦。	现在完成时 - 否定句和疑问句
Have you lived here since you were a child?	你从孩童时期就住在这里吗？	现在完成时 - 否定句和疑问句
They haven't seen each other for a long time.	他们好久没见面了。	现在完成时 - 否定句和疑问句
Has it been cold since morning?	从早上起就一直很冷吗？	现在完成时 - 否定句和疑问句
