#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I can swim.	我会游泳。	情态动词 - can / could: 表达能力或可能性
Can you help me?	你能帮我吗？	情态动词 - can / could: 表达能力或可能性
He can speak English.	他会说英语。	情态动词 - can / could: 表达能力或可能性
We can go now.	我们现在可以走了。	情态动词 - can / could: 表达能力或可能性
She can drive a car.	她会开车。	情态动词 - can / could: 表达能力或可能性
It can rain tomorrow.	明天可能会下雨。	情态动词 - can / could: 表达能力或可能性
Could you open the door?	你能打开门吗？	情态动词 - can / could: 表达能力或可能性
Could I use your phone?	我能用一下你的电话吗？	情态动词 - can / could: 表达能力或可能性
He could be right.	他可能是对的。	情态动词 - can / could: 表达能力或可能性
She could come later.	她可能会晚点来。	情态动词 - can / could: 表达能力或可能性
They could win the game.	他们可能会赢得比赛。	情态动词 - can / could: 表达能力或可能性
You can sit here.	你可以坐这儿。	情态动词 - can / could: 表达能力或可能性
We could eat pizza.	我们可以吃披萨。	情态动词 - can / could: 表达能力或可能性
Can I have some water?	我可以喝点水吗？	情态动词 - can / could: 表达能力或可能性
They can play music.	他们会演奏音乐。	情态动词 - can / could: 表达能力或可能性
She can cook well.	她做饭很好。	情态动词 - can / could: 表达能力或可能性
He could not hear me.	他听不见我说话。	情态动词 - can / could: 表达能力或可能性
Can you see that bird?	你能看到那只鸟吗？	情态动词 - can / could: 表达能力或可能性
I could not sleep last night.	我昨晚睡不着。	情态动词 - can / could: 表达能力或可能性
Could you pass the salt?	你能递一下盐吗？	情态动词 - can / could: 表达能力或可能性
I can't believe it.	我不敢相信。	情态动词 - can / could: 表达能力或可能性
He can't come today.	他今天不能来。	情态动词 - can / could: 表达能力或可能性
We couldn't find it.	我们找不到它。	情态动词 - can / could: 表达能力或可能性
Could she be wrong?	她会错吗？	情态动词 - can / could: 表达能力或可能性
Can't you see?	你看不见吗？	情态动词 - can / could: 表达能力或可能性
She can not stay here.	她不能留在这里。	情态动词 - can / could: 表达能力或可能性
They could not do it.	他们做不到。	情态动词 - can / could: 表达能力或可能性
Can he fix it?	他能修好吗？	情态动词 - can / could: 表达能力或可能性
Could they be lying?	他们会说谎吗？	情态动词 - can / could: 表达能力或可能性
You can't be serious!	你不是认真的吧！	情态动词 - can / could: 表达能力或可能性
