#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I like apples and bananas.	我喜欢苹果和香蕉。	并列连词 (and, but, or, so): 连接两个句子或并列成分
He is tall but thin.	他很高但是很瘦。	并列连词 (and, but, or, so): 连接两个句子或并列成分
Do you want coffee or tea?	你想要咖啡还是茶？	并列连词 (and, but, or, so): 连接两个句子或并列成分
It was raining, so I stayed home.	下雨了，所以我待在家里。	并列连词 (and, but, or, so): 连接两个句子或并列成分
She is smart and kind.	她聪明又善良。	并列连词 (and, but, or, so): 连接两个句子或并列成分
He is tired but happy.	他很累但很开心。	并列连词 (and, but, or, so): 连接两个句子或并列成分
We can go to the park or the beach.	我们可以去公园或海滩。	并列连词 (and, but, or, so): 连接两个句子或并列成分
He was late, so he missed the bus.	他迟到了，所以错过了公交车。	并列连词 (and, but, or, so): 连接两个句子或并列成分
The cat is black and white.	这只猫是黑白相间的。	并列连词 (and, but, or, so): 连接两个句子或并列成分
She is a student but also a teacher.	她既是学生也是老师。	并列连词 (and, but, or, so): 连接两个句子或并列成分
We can eat now or later.	我们可以现在吃或者稍后吃。	并列连词 (and, but, or, so): 连接两个句子或并列成分
The sun was shining, so we went outside.	阳光明媚，所以我们出去了。	并列连词 (and, but, or, so): 连接两个句子或并列成分
He likes to read books and watch movies.	他喜欢读书和看电影。	并列连词 (and, but, or, so): 连接两个句子或并列成分
She wants to travel but she has no money.	她想旅行但是她没钱。	并列连词 (and, but, or, so): 连接两个句子或并列成分
Do you want pizza or pasta for dinner?	你晚餐想吃披萨还是意大利面？	并列连词 (and, but, or, so): 连接两个句子或并列成分
It was cold, so I wore a jacket.	很冷，所以我穿了外套。	并列连词 (and, but, or, so): 连接两个句子或并列成分
He speaks English and French.	他说英语和法语。	并列连词 (and, but, or, so): 连接两个句子或并列成分
She is strong but gentle.	她坚强但温柔。	并列连词 (and, but, or, so): 连接两个句子或并列成分
We can walk or take a bus.	我们可以步行或乘公共汽车。	并列连词 (and, but, or, so): 连接两个句子或并列成分
He studied hard, so he passed the exam.	他努力学习，所以通过了考试。	并列连词 (and, but, or, so): 连接两个句子或并列成分
