#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
He is the tallest in the class.	他是班里最高的。	形容词/副词的最高级: 比较三者或以上
She is the fastest runner on the team.	她是队里跑得最快的。	形容词/副词的最高级: 比较三者或以上
It is the biggest apple I've ever seen.	这是我见过的最大的苹果。	形容词/副词的最高级: 比较三者或以上
This is the best cake I've ever tasted.	这是我尝过的最好的蛋糕。	形容词/副词的最高级: 比较三者或以上
He runs the fastest in the school.	他是学校里跑得最快的。	形容词/副词的最高级: 比较三者或以上
She sings the loudest in the choir.	她在合唱团里唱得最大声。	形容词/副词的最高级: 比较三者或以上
It is the cheapest option available.	这是最便宜的选择。	形容词/副词的最高级: 比较三者或以上
This is the easiest way to solve it.	这是解决这个问题最简单的方法。	形容词/副词的最高级: 比较三者或以上
The car is the newest model on the market.	这辆车是市场上最新的型号。	形容词/副词的最高级: 比较三者或以上
The house is the largest on the street.	这栋房子是这条街上最大的。	形容词/副词的最高级: 比较三者或以上
He is the strongest in the group.	他是这群人里最强壮的。	形容词/副词的最高级: 比较三者或以上
She is the smartest student in the school.	她是学校里最聪明的学生。	形容词/副词的最高级: 比较三者或以上
It is the most beautiful flower in the garden.	这是花园里最美丽的花。	形容词/副词的最高级: 比较三者或以上
The food is the tastiest dish on the menu.	这道菜是菜单上最美味的。	形容词/副词的最高级: 比较三者或以上
He works the hardest of all the employees.	他是所有员工里工作最努力的。	形容词/副词的最高级: 比较三者或以上
She speaks the clearest English in the group.	她是这群人里英语说得最清楚的。	形容词/副词的最高级: 比较三者或以上
It is the most expensive car he owns.	这是他拥有的最昂贵的车。	形容词/副词的最高级: 比较三者或以上
This is the most interesting book I've read this year.	这是我今年读过的最有趣的书。	形容词/副词的最高级: 比较三者或以上
The movie is the funniest one I've ever seen.	这部电影是我看过的最搞笑的一部。	形容词/副词的最高级: 比较三者或以上
He is the most careful driver I know.	他是我知道的最细心的司机。	形容词/副词的最高级: 比较三者或以上
