#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
He eats breakfast.	他吃早餐。	一般现在时 - 肯定句 (第三人称单数)
She plays the piano.	她弹钢琴。	一般现在时 - 肯定句 (第三人称单数)
It rains a lot here.	这里经常下雨。	一般现在时 - 肯定句 (第三人称单数)
He lives in the city.	他住在城市里。	一般现在时 - 肯定句 (第三人称单数)
She likes coffee.	她喜欢咖啡。	一般现在时 - 肯定句 (第三人称单数)
It works perfectly.	它运行完美。	一般现在时 - 肯定句 (第三人称单数)
He speaks English well.	他英语说得很好。	一般现在时 - 肯定句 (第三人称单数)
She watches movies on weekends.	她周末看电影。	一般现在时 - 肯定句 (第三人称单数)
It costs a lot.	这很贵。	一般现在时 - 肯定句 (第三人称单数)
He works very hard.	他工作非常努力。	一般现在时 - 肯定句 (第三人称单数)
She reads books every night.	她每晚读书。	一般现在时 - 肯定句 (第三人称单数)
It shines brightly.	它闪闪发光。	一般现在时 - 肯定句 (第三人称单数)
He understands the question.	他理解这个问题。	一般现在时 - 肯定句 (第三人称单数)
She sings beautifully.	她唱得很动听。	一般现在时 - 肯定句 (第三人称单数)
It grows quickly.	它长得很快。	一般现在时 - 肯定句 (第三人称单数)
He runs very fast.	他跑得很快。	一般现在时 - 肯定句 (第三人称单数)
She dances gracefully.	她舞姿优雅。	一般现在时 - 肯定句 (第三人称单数)
It smells good.	它闻起来很香。	一般现在时 - 肯定句 (第三人称单数)
He teaches English.	他教英语。	一般现在时 - 肯定句 (第三人称单数)
She drives a car.	她开车。	一般现在时 - 肯定句 (第三人称单数)
